GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mongoangular,com.fandomhub.mongoangular,MongoangularApplication,5,3,0,0,2,1,1,1,1,1
mongoangular,com.fandomhub.mongoangular.model,UserDTO,74,30,0,0,26,11,17,2,17,2
mongoangular,com.fandomhub.mongoangular.model,PostsDTO,49,27,0,0,22,10,14,2,14,2
mongoangular,com.fandomhub.mongoangular.model,CommentsDTO,44,21,0,0,15,8,10,2,10,2
mongoangular,com.fandomhub.mongoangular.model,ForumsDTO,65,27,0,0,23,10,15,2,15,2
mongoangular,com.fandomhub.mongoangular.model,LastidDTO,38,18,0,0,17,7,11,1,11,1
mongoangular,com.fandomhub.mongoangular.resources,CommentsController,25,3,0,0,6,1,4,1,4,1
mongoangular,com.fandomhub.mongoangular.resources,FeedController,148,3,8,0,35,1,9,1,5,1
mongoangular,com.fandomhub.mongoangular.resources,MyforumController,135,3,8,0,29,1,6,1,2,1
mongoangular,com.fandomhub.mongoangular.resources,LastIdController,6,17,0,0,1,5,1,3,1,3
mongoangular,com.fandomhub.mongoangular.resources,UserProfController,67,99,0,0,14,24,10,13,10,13
